"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.546527470E2,4.078488167E1,1.674972667E1,4.962698112E2,9.412725449E0,2.118099976E2,1.799999952E0,1.300000000E1
1.556527470E2,4.078480833E1,1.674967167E1,4.964697957E2,9.140437126E0,2.123300018E2,2.000000000E0,1.339999962E1
1.566527470E2,4.078474167E1,1.674961333E1,4.964697549E2,8.986020088E0,2.128000031E2,1.799999952E0,1.350000000E1
1.576527470E2,4.078467333E1,1.674955500E1,4.964697177E2,8.956681252E0,2.144900055E2,1.799999952E0,1.389999962E1
1.586527470E2,4.078460167E1,1.674949500E1,4.963696825E2,9.222277641E0,2.151799927E2,1.799999952E0,1.400000000E1
1.596527470E2,4.078453500E1,1.674942333E1,4.967695988E2,9.353531837E0,2.164499969E2,1.799999952E0,1.360000038E1
1.606527470E2,4.078447000E1,1.674935333E1,4.970695167E2,9.362282753E0,2.177299957E2,1.799999952E0,1.319999981E1
1.616527470E2,4.078440833E1,1.674928833E1,4.970694434E2,9.543979645E0,2.173099976E2,1.799999952E0,1.310000038E1
1.626527470E2,4.078434333E1,1.674921333E1,4.972693453E2,9.689130783E0,2.183099976E2,1.799999952E0,1.319999981E1
1.636527470E2,4.078427500E1,1.674914167E1,4.973692653E2,9.709719658E0,2.189199982E2,1.799999952E0,1.280000019E1
1.646527470E2,4.078420500E1,1.674907500E1,4.974692050E2,9.874945641E0,2.192400055E2,1.799999952E0,1.289999962E1
1.656527470E2,4.078413667E1,1.674900167E1,4.979691196E2,9.902226448E0,2.191000061E2,1.799999952E0,1.310000038E1
1.666527470E2,4.078406500E1,1.674892667E1,4.977690362E2,1.000259686E1,2.194400024E2,1.799999952E0,1.289999962E1
1.676527470E2,4.078400167E1,1.674885167E1,4.975689344E2,9.885240555E0,2.195599976E2,1.799999952E0,1.289999962E1
1.686527470E2,4.078393333E1,1.674877333E1,4.970688329E2,9.556847572E0,2.197200012E2,1.799999952E0,1.269999981E1
1.696527470E2,4.078386667E1,1.674870667E1,4.970687653E2,9.305148125E0,2.183300018E2,1.799999952E0,1.269999981E1
1.706527470E2,4.078380167E1,1.674864000E1,4.974686941E2,8.162980080E0,2.190800018E2,1.799999952E0,1.269999981E1
1.716527470E2,4.078375000E1,1.674858167E1,4.974686202E2,7.183463097E0,2.191999969E2,1.799999952E0,1.289999962E1
1.726527470E2,4.078370000E1,1.674852833E1,4.971685588E2,6.958014965E0,2.186399994E2,1.799999952E0,1.269999981E1
1.736527470E2,4.078365167E1,1.674847667E1,4.968684991E2,6.782494545E0,2.190800018E2,1.799999952E0,1.269999981E1
1.746527470E2,4.078360500E1,1.674842167E1,4.966684250E2,6.802568913E0,2.189299927E2,1.799999952E0,1.260000038E1
1.756527470E2,4.078355667E1,1.674837667E1,4.968683867E2,7.006398678E0,2.191399994E2,1.799999952E0,1.260000038E1
1.766527470E2,4.078350833E1,1.674833167E1,4.964683485E2,6.793818474E0,2.184199982E2,1.700000048E0,1.250000000E1
1.776527470E2,4.078346167E1,1.674828167E1,4.961682904E2,7.078974724E0,2.191300049E2,1.700000048E0,1.239999962E1
1.786527470E2,4.078341333E1,1.674822667E1,4.957682200E2,7.405823231E0,2.186199951E2,1.700000048E0,1.210000038E1
1.796527470E2,4.078336333E1,1.674817167E1,4.953681533E2,7.507738113E0,2.195800018E2,1.700000048E0,1.060000038E1
1.806527470E2,4.078331333E1,1.674811333E1,4.950680758E2,7.633845329E0,2.193999939E2,1.700000048E0,1.039999962E1
1.816527470E2,4.078325667E1,1.674805500E1,4.950680130E2,7.768702507E0,2.193200073E2,1.700000048E0,1.030000019E1
1.826527470E2,4.078319833E1,1.674799500E1,4.946679485E2,7.868558407E0,2.185399933E2,1.700000048E0,1.039999962E1
1.836527470E2,4.078314167E1,1.674793333E1,4.945678750E2,7.787747383E0,2.184299927E2,1.700000048E0,1.060000038E1
1.846527470E2,4.078308167E1,1.674787500E1,4.940678196E2,7.703847408E0,2.195500031E2,1.700000048E0,1.080000019E1
1.856527470E2,4.078302667E1,1.674782000E1,4.945677639E2,7.675023079E0,2.202400055E2,1.700000048E0,1.060000038E1
1.866527470E2,4.078297833E1,1.674775833E1,4.947676721E2,7.697670937E0,2.200599976E2,1.700000048E0,1.069999981E1
1.876527470E2,4.078292500E1,1.674769667E1,4.948675912E2,7.733186722E0,2.191199951E2,1.700000048E0,1.069999981E1
1.886527470E2,4.078286500E1,1.674764000E1,4.951675412E2,7.965326309E0,2.188099976E2,1.700000048E0,1.060000038E1
1.896527470E2,4.078280333E1,1.674758333E1,4.953674948E2,7.952458382E0,2.182400055E2,1.700000048E0,1.100000000E1
1.906527470E2,4.078274500E1,1.674752333E1,4.950674304E2,8.099668503E0,2.184600067E2,1.700000048E0,1.089999962E1
1.916527470E2,4.078269167E1,1.674746500E1,4.944673603E2,8.121287346E0,2.191300049E2,1.700000048E0,1.089999962E1
1.926527470E2,4.078264000E1,1.674740667E1,4.942672865E2,8.157832146E0,2.186300049E2,1.700000048E0,1.060000038E1
1.936527470E2,4.078258833E1,1.674734667E1,4.942672074E2,7.946796417E0,2.186999969E2,1.700000048E0,1.080000019E1
1.946527470E2,4.078253167E1,1.674729000E1,4.943671500E2,7.529356480E0,2.181799927E2,1.700000048E0,1.039999962E1
1.956527470E2,4.078248000E1,1.674723833E1,4.934670977E2,6.882865429E0,2.171699982E2,1.700000048E0,1.000000000E1
1.966527470E2,4.078242667E1,1.674719833E1,4.934670866E2,6.008352280E0,2.024299927E2,1.700000048E0,1.030000019E1
1.976527470E2,4.078237500E1,1.674718167E1,4.926671469E2,5.089573383E0,1.888500061E2,1.799999952E0,1.069999981E1
1.986527470E2,4.078233167E1,1.674719167E1,4.925672745E2,4.638162136E0,1.691499939E2,1.799999952E0,1.069999981E1
