"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.506814928E2,4.079337167E1,1.675872000E1,4.731800909E2,1.040974236E1,3.096999931E1,2.500000000E0,1.720000076E1
1.516814928E2,4.079344167E1,1.675878500E1,4.732801465E2,9.541405678E0,3.363999939E1,2.400000095E0,1.720000076E1
1.526814928E2,4.079351333E1,1.675884833E1,4.740801931E2,9.199630737E0,3.695000076E1,2.299999952E0,1.689999962E1
1.536814928E2,4.079358667E1,1.675891833E1,4.743802576E2,9.352502823E0,3.827000046E1,2.299999952E0,1.700000000E1
1.546814928E2,4.079365333E1,1.675899500E1,4.750803581E2,8.978814125E0,3.615000153E1,2.700000048E0,1.689999962E1
1.556814928E2,4.079371833E1,1.675905000E1,4.752803925E2,8.977785110E0,2.992000008E1,2.500000000E0,1.610000038E1
1.566814928E2,4.079378333E1,1.675909500E1,4.744803947E2,8.662260056E0,3.233000183E1,2.400000095E0,1.569999981E1
1.576814928E2,4.079384833E1,1.675916167E1,4.745804667E2,8.815133095E0,3.659999847E1,2.400000095E0,1.539999962E1
1.586814928E2,4.079392000E1,1.675923000E1,4.747805295E2,8.984476089E0,3.627000046E1,2.299999952E0,1.530000019E1
1.596814928E2,4.079399500E1,1.675929167E1,4.750805634E2,8.802779198E0,3.531000137E1,2.400000095E0,1.539999962E1
1.606814928E2,4.079406333E1,1.675936000E1,4.756806335E2,8.797117233E0,3.774000168E1,2.400000095E0,1.560000038E1
1.616814928E2,4.079412833E1,1.675942000E1,4.762806840E2,8.417767525E0,3.729999924E1,2.500000000E0,1.580000019E1
1.626814928E2,4.079419500E1,1.675947667E1,4.768807202E2,8.578875542E0,3.443999863E1,2.500000000E0,1.580000019E1
1.636814928E2,4.079426000E1,1.675954000E1,4.771807815E2,8.440415382E0,3.425000000E1,2.500000000E0,1.589999962E1
1.646814928E2,4.079432167E1,1.675960000E1,4.776808394E2,8.118713379E0,3.681999969E1,2.500000000E0,1.550000000E1
1.656814928E2,4.079438667E1,1.675965333E1,4.782808684E2,7.956061363E0,3.620999908E1,2.599999905E0,1.450000000E1
1.666814928E2,4.079445167E1,1.675969500E1,4.779808599E2,7.317805767E0,3.431999969E1,2.400000095E0,1.460000038E1
1.676814928E2,4.079450833E1,1.675974667E1,4.776809020E2,7.058900356E0,3.132999992E1,2.500000000E0,1.460000038E1
1.686814928E2,4.079456500E1,1.675979667E1,4.778809386E2,7.209713936E0,3.449000168E1,2.400000095E0,1.410000038E1
1.696814928E2,4.079462000E1,1.675984833E1,4.780809843E2,7.219493866E0,3.361000061E1,2.400000095E0,1.380000019E1
1.706814928E2,4.079467333E1,1.675990167E1,4.775810390E2,6.786098003E0,3.663999939E1,2.400000095E0,1.430000019E1
1.716814928E2,4.079472333E1,1.675995333E1,4.766810957E2,6.511750698E0,3.636999893E1,2.400000095E0,1.480000019E1
1.726814928E2,4.079476500E1,1.676000500E1,4.756811707E2,5.925482273E0,4.115999985E1,2.400000095E0,1.489999962E1
1.736814928E2,4.079480500E1,1.676004500E1,4.747812117E2,5.081852436E0,4.138000107E1,2.400000095E0,1.480000019E1
1.746814928E2,4.079482167E1,1.676011167E1,4.729813900E2,5.230092525E0,5.027999878E1,2.099999905E0,1.380000019E1
1.756814928E2,4.079484333E1,1.676017500E1,4.716815465E2,4.967069626E0,6.393000031E1,2.099999905E0,1.400000000E1
1.766814928E2,4.079484333E1,1.676024500E1,4.707817721E2,5.233181000E0,8.127999878E1,2.099999905E0,1.380000019E1
1.776814928E2,4.079483667E1,1.676031333E1,4.700820070E2,5.110162258E0,8.438999939E1,2.099999905E0,1.419999981E1
1.786814928E2,4.079482833E1,1.676037667E1,4.692822294E2,5.020085812E0,9.294999695E1,2.000000000E0,1.419999981E1
1.796814928E2,4.079481833E1,1.676044167E1,4.686824608E2,5.691798210E0,9.616999817E1,2.000000000E0,1.460000038E1
1.806814928E2,4.079480333E1,1.676051167E1,4.678827193E2,6.081957817E0,9.965000153E1,2.000000000E0,1.480000019E1
1.816814928E2,4.079478833E1,1.676058500E1,4.669829886E2,6.252845764E0,9.706999969E1,2.000000000E0,1.489999962E1
1.826814928E2,4.079478167E1,1.676066167E1,4.663832503E2,6.453072548E0,9.688999939E1,2.000000000E0,1.519999981E1
1.836814928E2,4.079477667E1,1.676074333E1,4.658835245E2,6.707859993E0,9.836000061E1,2.000000000E0,1.539999962E1
1.846814928E2,4.079476833E1,1.676082833E1,4.654838167E2,7.272510052E0,9.697000122E1,2.000000000E0,1.539999962E1
1.856814928E2,4.079475833E1,1.676090500E1,4.648840858E2,7.431044579E0,9.654000092E1,2.000000000E0,1.510000038E1
1.866814928E2,4.079474833E1,1.676099667E1,4.645844031E2,6.788671494E0,9.941999817E1,2.000000000E0,1.500000000E1
1.876814928E2,4.079473333E1,1.676108000E1,4.640847046E2,6.389246941E0,9.873000336E1,2.000000000E0,1.510000038E1
1.886814928E2,4.079472500E1,1.676116667E1,4.636850022E2,6.571973324E0,9.519999695E1,2.000000000E0,1.480000019E1
1.896814928E2,4.079471667E1,1.676126833E1,4.633853482E2,7.857749462E0,9.802999878E1,2.000000000E0,1.519999981E1
1.906814928E2,4.079470500E1,1.676137833E1,4.628857283E2,8.602552414E0,9.863999939E1,2.000000000E0,1.489999962E1
1.916814928E2,4.079469500E1,1.676149167E1,4.623861155E2,8.887708664E0,9.670999908E1,2.000000000E0,1.489999962E1
1.926814928E2,4.079468333E1,1.676161333E1,4.620865332E2,9.393165588E0,9.833999634E1,1.899999976E0,1.430000019E1
1.936814928E2,4.079467167E1,1.676173167E1,4.613869401E2,9.564568520E0,9.836000061E1,1.899999976E0,1.430000019E1
1.946814928E2,4.079465667E1,1.676185167E1,4.611873598E2,9.374635696E0,9.775000000E1,1.799999952E0,1.519999981E1
1.956814928E2,4.079464333E1,1.676196500E1,4.610877543E2,9.118304253E0,9.806999969E1,1.899999976E0,1.460000038E1
1.966814928E2,4.079463000E1,1.676207500E1,4.609881381E2,8.523799896E0,9.918000031E1,1.799999952E0,1.460000038E1
1.976814928E2,4.079461833E1,1.676216833E1,4.609884645E2,7.605535507E0,9.934999847E1,1.899999976E0,1.469999981E1
1.986814928E2,4.079461167E1,1.676225000E1,4.602887423E2,7.270966053E0,9.938999939E1,1.899999976E0,1.469999981E1
1.996814928E2,4.079460500E1,1.676233167E1,4.596890201E2,6.298141003E0,1.008799973E2,1.899999976E0,1.460000038E1
2.006814928E2,4.079459667E1,1.676240000E1,4.594892586E2,4.866698742E0,1.018399963E2,1.899999976E0,1.419999981E1
2.016814928E2,4.079458833E1,1.676245500E1,4.598894541E2,3.454815626E0,1.059499969E2,2.000000000E0,1.450000000E1
2.026814928E2,4.079458500E1,1.676248667E1,4.598895635E2,1.626522183E0,1.071500015E2,2.000000000E0,1.500000000E1
2.036814928E2,4.079458333E1,1.676250167E1,4.601896155E2,0.000000000E0,1.071500015E2,2.000000000E0,1.480000019E1
2.046814928E2,4.079458500E1,1.676250500E1,4.605896226E2,0.000000000E0,1.071500015E2,2.000000000E0,1.519999981E1
2.056814928E2,4.079458500E1,1.676250833E1,4.607896333E2,0.000000000E0,1.071500015E2,2.000000000E0,1.560000038E1
2.066814928E2,4.079458500E1,1.676250833E1,4.607896333E2,0.000000000E0,1.071500015E2,2.000000000E0,1.589999962E1
2.076814928E2,4.079458500E1,1.676250833E1,4.607896333E2,0.000000000E0,1.071500015E2,2.000000000E0,1.610000038E1
2.086814928E2,4.079458500E1,1.676250833E1,4.607896333E2,0.000000000E0,1.071500015E2,2.099999905E0,1.639999962E1
2.096814928E2,4.079458500E1,1.676250833E1,4.607896333E2,0.000000000E0,1.071500015E2,2.099999905E0,1.660000038E1
2.106814928E2,4.079458500E1,1.676250833E1,4.607896333E2,0.000000000E0,1.071500015E2,2.099999905E0,1.660000038E1
2.116814928E2,4.079458500E1,1.676250833E1,4.607896333E2,0.000000000E0,1.071500015E2,2.000000000E0,1.460000038E1
2.126814928E2,4.079458500E1,1.676250833E1,4.607896333E2,0.000000000E0,1.071500015E2,2.099999905E0,1.480000019E1
2.136814928E2,4.079458167E1,1.676259333E1,4.616899146E2,2.793912172E0,6.787000275E1,2.000000000E0,1.410000038E1
2.146814928E2,4.079459500E1,1.676262333E1,4.610899820E2,3.310178518E0,4.811000061E1,1.899999976E0,1.389999962E1
2.156814928E2,4.079462167E1,1.676264500E1,4.609899933E2,3.652468920E0,3.241999817E1,2.000000000E0,1.410000038E1
2.166814928E2,4.079465667E1,1.676265333E1,4.611899433E2,4.368962288E0,1.518999958E1,2.099999905E0,1.389999962E1
2.176814928E2,4.079470667E1,1.676266167E1,4.617898604E2,5.075160980E0,1.259000015E1,2.099999905E0,1.339999962E1
2.186814928E2,4.079476833E1,1.676266333E1,4.627897304E2,6.371746540E0,7.150000095E0,2.299999952E0,1.300000000E1
2.196814928E2,4.079483333E1,1.676266667E1,4.637895985E2,6.694992065E0,4.889999866E0,2.299999952E0,1.310000038E1
2.206814928E2,4.079490500E1,1.676265833E1,4.649894143E2,7.501561642E0,8.020000458E0,2.299999952E0,1.330000019E1
2.216814928E2,4.079497500E1,1.676266667E1,4.659892875E2,7.670905113E0,1.003999996E1,2.400000095E0,1.360000038E1
2.226814928E2,4.079505000E1,1.676267500E1,4.671891497E2,8.164524078E0,9.439999580E0,2.400000095E0,1.380000019E1
2.236814928E2,4.079512167E1,1.676267167E1,4.678889817E2,8.158862114E0,6.909999847E0,2.400000095E0,1.410000038E1
2.246814928E2,4.079520000E1,1.676268167E1,4.684888420E2,8.797632217E0,8.420000076E0,2.299999952E0,1.380000019E1
2.256814928E2,4.079528333E1,1.676270000E1,4.683887182E2,8.807412148E0,5.769999981E0,2.299999952E0,1.389999962E1
2.266814928E2,4.079536667E1,1.676271167E1,4.687885728E2,9.306692123E0,7.050000191E0,2.299999952E0,1.339999962E1
2.276814928E2,4.079546167E1,1.676272167E1,4.691883965E2,9.609349251E0,7.989999771E0,2.299999952E0,1.360000038E1
2.286814928E2,4.079555333E1,1.676273167E1,4.701882276E2,9.940315247E0,5.730000019E0,2.299999952E0,1.389999962E1
2.296814928E2,4.079564833E1,1.676274167E1,4.706880513E2,1.007208443E1,7.280000210E0,2.200000048E0,1.369999981E1
2.306814928E2,4.079574333E1,1.676275500E1,4.708878857E2,1.032275391E1,7.460000038E0,2.400000095E0,1.389999962E1
2.316814928E2,4.079583500E1,1.676276500E1,4.713877168E2,1.043805218E1,7.690000057E0,2.400000095E0,1.380000019E1
2.326814928E2,4.079593167E1,1.676278333E1,4.720875637E2,1.060327816E1,6.380000114E0,2.400000095E0,1.360000038E1
2.336814928E2,4.079602167E1,1.676279667E1,4.727874091E2,1.062695503E1,8.090000153E0,2.500000000E0,1.350000000E1
2.346814928E2,4.079611167E1,1.676281833E1,4.734872814E2,1.032378387E1,6.230000019E0,2.500000000E0,1.310000038E1
2.356814928E2,4.079621000E1,1.676284500E1,4.732871515E2,1.017863178E1,9.189999580E0,2.200000048E0,1.289999962E1
2.366814928E2,4.079629667E1,1.676287333E1,4.722870526E2,9.546552658E0,8.829999924E0,2.299999952E0,1.310000038E1
2.376814928E2,4.079637833E1,1.676288833E1,4.713869218E2,9.168231964E0,9.579999924E0,2.099999905E0,1.289999962E1
2.386814928E2,4.079645833E1,1.676291000E1,4.709868160E2,8.484681129E0,1.280000019E1,2.099999905E0,1.319999981E1
2.396814928E2,4.079653000E1,1.676294167E1,4.708867608E2,7.576196194E0,1.738999939E1,2.200000048E0,1.300000000E1
2.406814928E2,4.079658333E1,1.676297667E1,4.711867566E2,6.507118225E0,2.567000008E1,2.200000048E0,1.319999981E1
2.416814928E2,4.079662667E1,1.676303500E1,4.700868495E2,6.022250175E0,4.311999893E1,2.000000000E0,1.219999981E1
2.426814928E2,4.079665833E1,1.676311000E1,4.693870218E2,5.728858471E0,6.616000366E1,2.000000000E0,1.239999962E1
2.436814928E2,4.079668000E1,1.676318833E1,4.683872268E2,6.224535942E0,7.659999847E1,2.000000000E0,1.230000019E1
2.446814928E2,4.079669333E1,1.676327000E1,4.676874608E2,6.964191437E0,7.961000061E1,2.000000000E0,1.239999962E1
2.456814928E2,4.079671000E1,1.676336500E1,4.662877305E2,7.744510651E0,8.136000061E1,2.000000000E0,1.219999981E1
2.466814928E2,4.079672167E1,1.676346333E1,4.649880219E2,7.765099525E0,8.348000336E1,2.000000000E0,1.219999981E1
2.476814928E2,4.079672833E1,1.676356333E1,4.638883296E2,8.313278198E0,8.415000153E1,2.099999905E0,1.230000019E1
2.486814928E2,4.079673333E1,1.676367167E1,4.621886679E2,8.756969452E0,8.637000275E1,2.200000048E0,1.189999962E1
2.496814928E2,4.079673500E1,1.676378333E1,4.608890242E2,9.145070076E0,8.544000244E1,2.200000048E0,1.200000000E1
2.506814928E2,4.079674167E1,1.676389500E1,4.593893696E2,9.588760376E0,8.773999786E1,2.200000048E0,1.189999962E1
2.516814928E2,4.079674000E1,1.676401167E1,4.576897493E2,9.852812767E0,8.841999817E1,2.200000048E0,1.219999981E1
2.526814928E2,4.079674333E1,1.676413333E1,4.562901343E2,1.006487846E1,8.962000275E1,2.099999905E0,1.210000038E1
2.536814928E2,4.079673667E1,1.676425667E1,4.561905465E2,1.018069077E1,9.070999908E1,2.099999905E0,1.169999981E1
2.546814928E2,4.079673333E1,1.676437500E1,4.562909353E2,1.042621326E1,9.351999664E1,2.200000048E0,1.169999981E1
2.556814928E2,4.079672667E1,1.676450333E1,4.565913636E2,1.052606964E1,9.504000092E1,2.099999905E0,1.139999962E1
2.566814928E2,4.079671667E1,1.676462833E1,4.563917885E2,1.039224148E1,9.544999695E1,2.000000000E0,1.169999981E1
2.576814928E2,4.079671167E1,1.676475500E1,4.578922079E2,1.038143253E1,9.887999725E1,2.000000000E0,1.169999981E1
2.586814928E2,4.079669667E1,1.676488167E1,4.580926491E2,1.050033379E1,1.010000000E2,2.000000000E0,1.189999962E1
2.596814928E2,4.079668000E1,1.676500333E1,4.583930779E2,1.039635944E1,1.017900009E2,2.099999905E0,1.200000000E1
2.606814928E2,4.079665667E1,1.676512833E1,4.584935321E2,1.027848816E1,1.011299973E2,2.099999905E0,1.180000019E1
2.616814928E2,4.079663833E1,1.676525167E1,4.583939699E2,1.013693905E1,1.008199997E2,2.099999905E0,1.169999981E1
2.626814928E2,4.079662333E1,1.676537000E1,4.579943842E2,9.935168266E0,1.010100021E2,2.099999905E0,1.180000019E1
2.636814928E2,4.079660333E1,1.676548333E1,4.575947935E2,9.738544464E0,1.036299973E2,2.200000048E0,1.200000000E1
2.646814928E2,4.079658167E1,1.676558167E1,4.569951580E2,9.594422340E0,1.056200027E2,2.200000048E0,1.219999981E1
2.656814928E2,4.079655500E1,1.676568500E1,4.563955496E2,9.295368195E0,1.075500031E2,2.099999905E0,1.260000038E1
2.666814928E2,4.079651833E1,1.676579000E1,4.563959685E2,9.396768570E0,1.091299973E2,2.099999905E0,1.239999962E1
2.676814928E2,4.079648167E1,1.676589167E1,4.569963767E2,9.409122467E0,1.109800034E2,2.099999905E0,1.230000019E1
2.686814928E2,4.079645667E1,1.676599500E1,4.572967646E2,9.660306931E0,1.064899979E2,2.099999905E0,1.250000000E1
2.696814928E2,4.079643333E1,1.676611000E1,4.568971865E2,9.959875107E0,1.016200027E2,2.200000048E0,1.239999962E1
2.706814928E2,4.079642333E1,1.676622333E1,4.566975738E2,1.009679127E1,9.659999847E1,2.099999905E0,1.230000019E1
