"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.458741750E-1,2.626249939E-2,-2.062499896E-2,1.856249943E-2
5.483812500E-1,2.749999985E-2,-9.624999948E-3,9.899999946E-3
5.508890190E-1,2.144999988E-2,1.374999993E-3,1.374999993E-3
5.533960740E-1,1.044999994E-2,6.324999966E-3,-1.209999993E-2
5.559022280E-1,-1.787499990E-3,1.113750041E-2,-2.186249942E-2
5.584093030E-1,-1.402499992E-2,1.484999992E-2,-2.914999984E-2
5.609172260E-1,-1.883750036E-2,1.361249946E-2,-3.038750030E-2
5.634242720E-1,-2.254999988E-2,6.324999966E-3,-2.186249942E-2
5.659305030E-1,-2.626249939E-2,3.849999979E-3,-9.624999948E-3
5.684375780E-1,-2.131249942E-2,1.374999993E-3,9.899999946E-3
5.709455010E-1,-1.154999994E-2,1.374999993E-3,2.089999989E-2
5.734525610E-1,5.499999970E-3,-7.149999961E-3,2.942499891E-2
5.759587150E-1,2.021249942E-2,-1.209999993E-2,2.832499892E-2
5.784657890E-1,2.997500077E-2,-2.186249942E-2,2.337500080E-2
5.809735590E-1,3.368749842E-2,-2.062499896E-2,1.484999992E-2
5.834806380E-1,2.873750031E-2,-9.624999948E-3,3.849999979E-3
5.859867760E-1,2.021249942E-2,1.374999993E-3,-7.149999961E-3
5.884938510E-1,4.262499977E-3,1.237499993E-2,-1.938750036E-2
5.910017740E-1,-1.031249948E-2,1.484999992E-2,-2.914999984E-2
5.935088480E-1,-1.883750036E-2,1.608750038E-2,-3.038750030E-2
5.960150790E-1,-2.873750031E-2,1.113750041E-2,-2.791249938E-2
5.985221540E-1,-3.355000168E-2,7.424999960E-3,-1.319999993E-2
6.010300630E-1,-3.355000168E-2,5.087499972E-3,3.849999979E-3
6.035369110E-1,-2.626249939E-2,1.374999993E-3,2.089999989E-2
6.060432960E-1,-1.031249948E-2,-2.337499987E-3,3.066249937E-2
6.085503560E-1,9.212499484E-3,-9.624999948E-3,3.189999983E-2
6.110581250E-1,2.502499893E-2,-1.814999990E-2,2.832499892E-2
6.135652040E-1,3.726249933E-2,-2.433750033E-2,2.089999989E-2
6.160715700E-1,4.344999790E-2,-1.814999990E-2,1.113750041E-2
6.185784140E-1,3.726249933E-2,-8.387500420E-3,-3.437499981E-3
6.210864140E-1,2.144999988E-2,5.087499972E-3,-1.319999993E-2
6.235933870E-1,4.262499977E-3,1.361249946E-2,-2.419999987E-2
6.260996180E-1,-1.278750040E-2,1.608750038E-2,-3.038750030E-2
6.286066930E-1,-2.502499893E-2,1.237499993E-2,-2.914999984E-2
6.311146210E-1,-3.231250122E-2,1.237499993E-2,-2.186249942E-2
6.336217000E-1,-3.849999979E-2,1.237499993E-2,-5.912499968E-3
6.361278530E-1,-3.602499887E-2,8.662499487E-3,6.324999966E-3
6.386349380E-1,-2.378750034E-2,2.612499986E-3,1.856249943E-2
6.411427080E-1,-1.031249948E-2,-2.337499987E-3,2.708750032E-2
6.436497870E-1,9.212499484E-3,-9.624999948E-3,2.708750032E-2
6.461559400E-1,2.392499894E-2,-1.814999990E-2,2.584999986E-2
6.486630150E-1,3.602499887E-2,-1.691249944E-2,1.484999992E-2
6.511709380E-1,3.849999979E-2,-1.086249948E-2,6.324999966E-3
6.536780170E-1,3.121249937E-2,-3.574999981E-3,-5.912499968E-3
6.561842480E-1,1.897500083E-2,3.849999979E-3,-1.443750039E-2
6.586913230E-1,3.024999984E-3,1.237499993E-2,-2.419999987E-2
6.611992460E-1,-7.837500423E-3,1.361249946E-2,-2.914999984E-2
6.637063250E-1,-1.773750037E-2,8.662499487E-3,-2.543750033E-2
6.662129540E-1,-2.378750034E-2,3.849999979E-3,-1.567500085E-2
6.687197310E-1,-2.749999985E-2,2.612499986E-3,1.374999993E-3
6.712273230E-1,-2.749999985E-2,1.374999993E-3,1.608750038E-2
6.737344020E-1,-1.649999991E-2,1.374999993E-4,2.584999986E-2
6.762407770E-1,-3.024999984E-3,-2.337499987E-3,3.066249937E-2
6.787476210E-1,1.044999994E-2,-1.209999993E-2,2.584999986E-2
6.812556210E-1,2.021249942E-2,-1.814999990E-2,2.089999989E-2
