"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.271986766E0,4.879500270E-1,9.244050026E0,2.812950134E0
6.274494072E0,4.260000288E-1,9.141000748E0,2.788950205E0
6.277001841E0,2.659500241E-1,9.073950768E0,2.583000183E0
6.279508930E0,1.905000024E-2,9.153000832E0,2.347950220E0
6.282015084E0,-1.980000138E-1,9.286950111E0,2.278950214E0
6.284522159E0,-3.730500042E-1,9.310950279E0,2.455950022E0
6.287030082E0,-4.729500115E-1,9.256050110E0,2.692950010E0
6.289537151E0,-4.489500225E-1,9.414000511E0,3.016050100E0
6.292043381E0,-3.199500144E-1,9.622050285E0,3.226950169E0
6.294550456E0,-1.480500102E-1,9.751950264E0,3.205050230E0
6.297058384E0,4.800000042E-2,9.763950348E0,3.025950193E0
6.299565463E0,2.460000068E-1,9.715950012E0,2.863050222E0
6.302071617E0,3.690000176E-1,9.507000923E0,2.779050112E0
6.304578692E0,4.519500136E-1,9.292050362E0,2.794050217E0
6.307086697E0,4.549500346E-1,9.133950233E0,2.800950050E0
6.309593545E0,3.330000043E-1,9.136050224E0,2.703000069E0
6.312099939E0,1.120500043E-1,9.199050903E0,2.511000156E0
6.314606783E0,-1.279500127E-1,9.285000801E0,2.299950123E0
6.317114783E0,-3.060000241E-1,9.373050690E0,2.335950136E0
6.319621785E0,-4.590000212E-1,9.334950447E0,2.602050066E0
6.322128247E0,-4.920000136E-1,9.318000793E0,2.881950140E0
6.324635091E0,-3.940500319E-1,9.462000847E0,3.081000090E0
6.327143091E0,-2.029500157E-1,9.676950455E0,3.172050238E0
6.329650093E0,-1.395000052E-2,9.784950256E0,3.133950233E0
6.332156324E0,2.130000144E-1,9.756000519E0,2.989950180E0
6.334663399E0,3.780000210E-1,9.652950287E0,2.784000158E0
6.337171318E0,4.740000367E-1,9.457050323E0,2.772000074E0
6.339678397E0,4.860000312E-1,9.229950905E0,2.845950127E0
6.342184550E0,4.189500213E-1,9.013950348E0,2.734050035E0
6.344691625E0,2.539499998E-1,8.988000870E0,2.491950035E0
6.347199395E0,5.205000192E-2,9.160050392E0,2.308050156E0
6.349706474E0,-1.740000099E-1,9.310950279E0,2.287950039E0
6.352212858E0,-3.559500277E-1,9.333000183E0,2.451000214E0
6.354719933E0,-4.849500358E-1,9.321000099E0,2.734050035E0
6.357227702E0,-4.759500325E-1,9.409049988E0,3.004050255E0
6.359734781E0,-3.490500152E-1,9.589050293E0,3.196050167E0
6.362240950E0,-1.840500087E-1,9.730050087E0,3.162000179E0
6.364748025E0,4.950000439E-3,9.759000778E0,3.097950220E0
6.367255948E0,2.320500165E-1,9.663000107E0,3.009000063E0
6.369763027E0,3.610500097E-1,9.517050743E0,2.884950161E0
6.372269263E0,4.330500066E-1,9.391950607E0,2.848950148E0
6.374776338E0,4.759500325E-1,9.273000717E0,2.851050138E0
6.377284261E0,3.829500079E-1,9.124050140E0,2.716950178E0
6.379791340E0,1.789500117E-1,9.072000504E0,2.473050117E0
6.382297551E0,-3.795000166E-2,9.222000122E0,2.296050072E0
6.384804549E0,-2.389500141E-1,9.442950249E0,2.347950220E0
6.387312549E0,-3.889500201E-1,9.388050079E0,2.551950216E0
6.389819397E0,-4.879500270E-1,9.316050529E0,2.736000061E0
6.392325757E0,-4.060500264E-1,9.436050415E0,2.964000225E0
6.394832601E0,-2.530499995E-1,9.646050453E0,3.114000082E0
6.397340601E0,-9.000000358E-2,9.763950348E0,3.085950136E0
6.399847594E0,1.339500099E-1,9.732000351E0,2.956050158E0
6.402353825E0,3.250500262E-1,9.619950294E0,2.827050209E0
6.404860900E0,4.020000100E-1,9.391950607E0,2.796000242E0
6.407368900E0,4.519500136E-1,9.201000214E0,2.818050146E0
6.409875882E0,4.380000234E-1,9.124050140E0,2.770050049E0
6.412382113E0,3.090000153E-1,9.103050232E0,2.691000223E0
6.414889188E0,6.195000187E-2,9.105000496E0,2.470050097E0
6.417397111E0,-1.500000060E-1,9.214950562E0,2.310000181E0
6.419904190E0,-3.420000076E-1,9.352050781E0,2.443950176E0
6.422410344E0,-4.470000267E-1,9.330000877E0,2.674050093E0
6.424917419E0,-4.609500170E-1,9.313050270E0,2.937000036E0
6.427425174E0,-3.630000055E-1,9.495000839E0,3.085950136E0
6.429932253E0,-1.720500141E-1,9.723000526E0,3.145950079E0
6.432438637E0,2.895000204E-2,9.816000938E0,3.141000032E0
6.434945712E0,2.370000184E-1,9.747000694E0,2.923050165E0
6.437453482E0,3.570000231E-1,9.574050903E0,2.736000061E0
6.439960561E0,4.240500331E-1,9.402000427E0,2.755050182E0
6.442466728E0,4.570500255E-1,9.237000465E0,2.800950050E0
6.444974034E0,3.660000265E-1,9.154950142E0,2.724000216E0
6.447481726E0,1.909500062E-1,9.141000748E0,2.542050123E0
6.449988868E0,-8.295000345E-2,9.208050728E0,2.401050091E0
6.452495022E0,-2.890500128E-1,9.285000801E0,2.395950079E0
6.455002097E0,-4.450500309E-1,9.289950371E0,2.475000143E0
6.457510020E0,-4.920000136E-1,9.333000183E0,2.755050182E0
6.460017099E0,-4.369500279E-1,9.451950073E0,3.061950207E0
6.462523330E0,-3.010500073E-1,9.579000473E0,3.208050251E0
6.465030328E0,-1.240500063E-1,9.694050789E0,3.196050167E0
6.467538328E0,1.150500029E-1,9.766050339E0,3.093000174E0
6.470045176E0,3.330000043E-1,9.727950096E0,2.899050236E0
6.472551561E0,4.380000234E-1,9.550050735E0,2.776950121E0
6.475058650E0,4.950000346E-1,9.333000183E0,2.782050133E0
6.477566419E0,4.879500270E-1,9.187050819E0,2.796000242E0
6.480073498E0,3.540000021E-1,9.040950775E0,2.659950018E0
6.482579877E0,1.429500133E-1,9.045000076E0,2.353049994E0
6.485086722E0,-5.895000324E-2,9.217950821E0,2.205000162E0
6.487594645E0,-2.650500238E-1,9.373050690E0,2.332050085E0
6.490101724E0,-4.110000134E-1,9.364050865E0,2.545050144E0
6.492607954E0,-4.660500288E-1,9.333000183E0,2.827050209E0
6.495115029E0,-3.919500113E-1,9.473999977E0,3.102000237E0
6.497622952E0,-2.460000068E-1,9.643950462E0,3.222000122E0
6.500130046E0,-7.605000585E-2,9.756000519E0,3.129000187E0
6.502636200E0,1.270500124E-1,9.768000603E0,2.976000071E0
6.505143275E0,2.749500275E-1,9.606000900E0,2.848950148E0
6.507651044E0,3.660000265E-1,9.342000008E0,2.860950232E0
6.510158354E0,3.949500322E-1,9.148050308E0,2.857950211E0
6.512664508E0,3.810000122E-1,9.112050056E0,2.796000242E0
6.515171583E0,2.269500047E-1,9.157950401E0,2.659950018E0
6.517679361E0,-1.395000052E-2,9.166950226E0,2.362950087E0
6.520186440E0,-1.980000138E-1,9.289950371E0,2.266950130E0
6.522692825E0,-3.610500097E-1,9.424050331E0,2.434050083E0
6.525199899E0,-4.590000212E-1,9.369000435E0,2.722050190E0
6.527707592E0,-4.519500136E-1,9.385050774E0,3.004050255E0
6.530214748E0,-3.060000241E-1,9.534000397E0,3.079050064E0
6.532720902E0,-1.090500057E-1,9.744000435E0,3.094950199E0
6.535227976E0,9.600000083E-2,9.823050499E0,3.043050051E0
6.537735900E0,2.970000207E-1,9.754050255E0,2.839050055E0
6.540242978E0,4.260000288E-1,9.510000229E0,2.743050098E0
6.542749224E0,4.669500291E-1,9.310950279E0,2.827050209E0
6.545256222E0,4.600500166E-1,9.151050568E0,2.844000101E0
6.547764222E0,3.730500042E-1,9.067049980E0,2.679000139E0
6.550271084E0,1.390500069E-1,9.096000671E0,2.497050047E0
6.552777469E0,-4.695000127E-2,9.214950562E0,2.365050077E0
6.555284544E0,-2.770500183E-1,9.285000801E0,2.391000032E0
6.557792323E0,-4.230000079E-1,9.277950287E0,2.575950146E0
6.560299402E0,-4.710000157E-1,9.321000099E0,2.884950161E0
6.562805556E0,-4.009500146E-1,9.495000839E0,3.138000250E0
6.565312631E0,-2.650500238E-1,9.652950287E0,3.172050238E0
6.567820554E0,-9.300000221E-2,9.735000610E0,3.106950045E0
6.570327633E0,1.309500039E-1,9.772950172E0,2.995050192E0
6.572833864E0,2.850000262E-1,9.676950455E0,2.853000164E0
6.575340939E0,3.780000210E-1,9.469050407E0,2.832000017E0
6.577848871E0,4.279500246E-1,9.274950027E0,2.820000172E0
6.580355950E0,4.260000288E-1,9.177000046E0,2.763000250E0
6.582862180E0,2.700000107E-1,9.127050400E0,2.566050053E0
6.585369255E0,5.205000192E-2,9.166950226E0,2.341050148E0
6.587877174E0,-1.570500135E-1,9.337050438E0,2.323950052E0
6.590384023E0,-3.510000110E-1,9.397050858E0,2.439000130E0
6.592890411E0,-4.800000191E-1,9.285000801E0,2.638050079E0
6.595397486E0,-4.830000103E-1,9.285000801E0,2.905950069E0
6.597905255E0,-3.340500295E-1,9.529050827E0,3.162000179E0
6.600412334E0,-1.620000005E-1,9.715950012E0,3.205050230E0
6.602918474E0,4.500000179E-2,9.747000694E0,3.081000090E0
6.605425549E0,2.580000162E-1,9.720000267E0,2.911050081E0
6.607933563E0,4.090500176E-1,9.582000732E0,2.824950218E0
6.610440642E0,4.810500145E-1,9.414000511E0,2.856000185E0
6.612946796E0,4.860000312E-1,9.181950569E0,2.803050041E0
6.615453871E0,3.730500042E-1,9.045000076E0,2.676000118E0
6.617961794E0,1.530000120E-1,9.019050598E0,2.485050201E0
6.620468873E0,-3.299999982E-2,9.145950317E0,2.281050205E0
6.622975104E0,-2.310000062E-1,9.357000351E0,2.263950109E0
6.625482102E0,-3.700500131E-1,9.426000595E0,2.485050201E0
6.627990102E0,-4.470000267E-1,9.340050697E0,2.812950134E0
6.630496950E0,-4.230000079E-1,9.364050865E0,3.034950256E0
6.633003334E0,-2.980500162E-1,9.606000900E0,3.148050070E0
6.635510409E0,-1.069500074E-1,9.819000244E0,3.145950079E0
6.638018179E0,9.600000083E-2,9.819000244E0,3.094950199E0
6.640525257E0,2.509500086E-1,9.630000114E0,2.923050165E0
6.643031642E0,3.540000021E-1,9.498000145E0,2.868000031E0
6.645538491E0,4.159500301E-1,9.357000351E0,2.937000036E0
6.648046491E0,4.039500058E-1,9.187050819E0,2.848950148E0
6.650553493E0,2.539499998E-1,9.061950684E0,2.638050079E0
6.653059743E0,7.605000585E-2,9.085950851E0,2.410950184E0
6.655566818E0,-1.170000061E-1,9.226950645E0,2.332050085E0
6.658074732E0,-2.599500120E-1,9.391950607E0,2.403000116E0
6.660581811E0,-3.919500113E-1,9.334950447E0,2.590050220E0
6.663088042E0,-4.330500066E-1,9.366000175E0,2.833950043E0
6.665594920E0,-3.540000021E-1,9.510000229E0,3.070950031E0
6.668101737E0,-1.740000099E-1,9.676950455E0,3.094950199E0
6.670610117E0,-1.395000052E-2,9.795000076E0,3.016050100E0
6.673116273E0,1.699500084E-1,9.736950874E0,2.940000057E0
