"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.861132191E2,4.079275667E1,1.676711667E1,4.629084929E2,9.423534393E0,1.890500031E2,2.000000000E0,9.000000000E0
1.871132191E2,4.079267333E1,1.676710333E1,4.635086327E2,9.541405678E0,1.892799988E2,2.000000000E0,8.699999809E0
1.881132191E2,4.079258833E1,1.676708167E1,4.636087492E2,9.782296181E0,1.885000000E2,2.000000000E0,8.600000381E0
1.891132191E2,4.079250167E1,1.676706333E1,4.631088802E2,9.681924820E0,1.882400055E2,2.000000000E0,8.600000381E0
1.901132191E2,4.079242167E1,1.676703500E1,4.626089643E2,9.448756218E0,1.964600067E2,1.899999976E0,8.699999809E0
1.911132191E2,4.079234500E1,1.676697833E1,4.617089499E2,9.078155518E0,2.085700073E2,1.899999976E0,8.500000000E0
1.921132191E2,4.079228333E1,1.676691667E1,4.623088864E2,8.569610596E0,2.165800018E2,1.799999952E0,8.500000000E0
1.931132191E2,4.079222833E1,1.676685167E1,4.629087977E2,8.045108795E0,2.138000031E2,1.799999952E0,8.300000191E0
1.941132191E2,4.079216833E1,1.676681333E1,4.631088057E2,7.735760212E0,2.001300049E2,1.700000048E0,8.300000191E0
1.951132191E2,4.079210500E1,1.676679667E1,4.635088909E2,7.460383892E0,1.856900024E2,1.799999952E0,8.000000000E0
1.961132191E2,4.079203667E1,1.676680667E1,4.632090730E2,7.347145081E0,1.665500031E2,1.799999952E0,7.900000095E0
1.971132191E2,4.079197833E1,1.676684333E1,4.626093190E2,7.528841972E0,1.484600067E2,1.700000048E0,7.699999809E0
1.981132191E2,4.079192000E1,1.676690833E1,4.616096563E2,8.204157829E0,1.443600006E2,1.799999952E0,7.699999809E0
1.991132191E2,4.079185833E1,1.676695833E1,4.609099525E2,7.609138489E0,1.550599976E2,1.799999952E0,7.500000000E0
2.001132191E2,4.079178833E1,1.676698667E1,4.609101973E2,7.523694515E0,1.711100006E2,1.799999952E0,7.400000095E0
2.011132191E2,4.079171500E1,1.676698667E1,4.611103581E2,8.072388649E0,1.825899963E2,1.799999952E0,7.500000000E0
2.021132191E2,4.079164000E1,1.676699000E1,4.612105333E2,8.638068199E0,1.843800049E2,1.799999952E0,7.599999905E0
