"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.006131120E-1,2.970000207E-1,1.005795002E1,2.506050110E0
9.031195370E-1,3.160500228E-1,9.627000809E0,2.212050200E0
9.056269220E-1,3.130500019E-1,9.205950737E0,1.825950146E0
9.081336160E-1,2.869500220E-1,9.076050758E0,1.467000127E0
9.106392320E-1,2.800500095E-1,9.357000351E0,1.297050118E0
9.131459220E-1,2.440500110E-1,9.796950340E0,1.312050104E0
9.156533070E-1,1.960500032E-1,1.013505077E1,1.318950057E0
9.181597700E-1,1.000500023E-1,1.018305016E1,1.158000112E0
9.206656160E-1,1.950000064E-3,9.955050468E0,8.899500370E-1
9.231720660E-1,-4.500000179E-2,9.631950378E0,6.840000153E-1
9.256794500E-1,-7.095000148E-2,9.433050156E0,6.460500360E-1
9.281859910E-1,-4.005000368E-2,9.397050858E0,8.779500127E-1
9.306917600E-1,1.200000010E-2,9.579000473E0,1.399950027E0
9.331982970E-1,1.270500124E-1,9.820950508E0,2.013000011E0
9.357056040E-1,2.460000068E-1,1.000095081E1,2.383949995E0
9.382121450E-1,3.090000153E-1,9.969000816E0,2.413050175E0
9.407179140E-1,3.570000231E-1,9.643950462E0,2.154000044E0
9.432244470E-1,3.640500307E-1,9.261000633E0,1.756950140E0
9.457318310E-1,3.160500228E-1,9.088050842E0,1.458000064E0
9.482385250E-1,2.659500241E-1,9.214950562E0,1.347000122E0
9.507441410E-1,2.250000089E-1,9.571950912E0,1.363950014E0
9.532508110E-1,1.789500117E-1,9.958050728E0,1.314000010E0
9.557581960E-1,1.339500099E-1,1.011105061E1,1.057950020E0
9.582647360E-1,4.995000362E-2,9.972000122E0,7.699500322E-1
9.607705050E-1,-3.495000303E-2,9.661050797E0,6.319500208E-1
9.632770330E-1,-9.000000358E-2,9.403950691E0,6.960000396E-1
9.657843410E-1,-1.140000075E-1,9.316050529E0,9.450000525E-1
9.682908810E-1,-4.905000329E-2,9.471000671E0,1.407000065E0
9.707966500E-1,1.150500029E-1,9.763950348E0,1.956000090E0
9.733031820E-1,2.939999998E-1,9.981000900E0,2.341050148E0
9.758105660E-1,3.469500244E-1,1.003200054E1,2.458050013E0
9.783170300E-1,3.970500231E-1,9.772950172E0,2.322000027E0
9.808228760E-1,4.000500143E-1,9.402000427E0,2.008050203E0
9.833295520E-1,3.400500119E-1,9.136050224E0,1.599000096E0
9.858369370E-1,2.460000068E-1,9.205950737E0,1.374000072E0
9.883434010E-1,1.990500093E-1,9.586050034E0,1.279950023E0
9.908492470E-1,1.819500029E-1,1.004595089E1,1.290000081E0
9.933557060E-1,1.080000028E-1,1.027395058E1,1.162950039E0
9.958630910E-1,2.100000158E-2,1.008900070E1,8.730000257E-1
9.983696310E-1,-6.105000153E-2,9.720000267E0,6.360000372E-1
1.000875401E0,-9.705000371E-2,9.409049988E0,5.530500412E-1
1.003381864E0,-6.599999964E-2,9.309000015E0,7.270500064E-1
1.005889326E0,-4.050000105E-3,9.439949989E0,1.194000006E0
1.008395789E0,8.595000207E-2,9.784950256E0,1.807050109E0
1.010901635E0,2.110500038E-1,1.003695011E1,2.323950052E0
1.013408115E0,2.749500275E-1,1.002900028E1,2.467950106E0
